user_id,experiment_id,variant,assigned_at,bucketing_method,affected_by_srm_bug,had_posted_pre_test,platform,att_status
exu_6549272a620642b0,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_cb0a76c967d64ecf,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,android,
exu_9a58d92520964eb3,reels_density_q2_2026,control,2026-04-01,server_hash,false,False,ios,granted
exu_678bdbcce9ce4bea,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,False,ios,granted
exu_bdd0f1281ebb4f26,reels_density_q2_2026, CONTROL  ,2026-04-01,server_hash,False,no,android,not_applicable
exu_90d8faf7e9444f70,reels_density_q2_2026,control,2026-04-01,server_hash,N,Y,ios,granted
exu_91111c94d7834a92,reels_density_q2_2026,control,2026-04-01,server_hash,no,yes,ios,granted
exu_28e7e47ca5ae435b,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,android,
exu_05252256746345cc,reels_density_q2_2026,control,2026-04-01,server_hash,N,True,android,
exu_9d462b8629394f9c,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,True,ios,denied
exu_c6202c1378304bcd,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,android,
exu_d9f3c7f38b7d49fa,reels_density_q2_2026,Treatment,2026-04-01,server_hash,False,yes,android,
exu_229b7842da644606,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,yes,android,
exu_381cc36842dc4240,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,N,android,
exu_acd24ef68074466d,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,True,android,
exu_6fe183e7abdd4d55,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,False,Y,ios,granted
exu_a2af1dd36b5947bc,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,not_applicable
exu_69de17fed41a4412,reels_density_q2_2026,Control,2026-04-01,server_hash,0,False,ios,granted
exu_7fbcfb6ec12040c7,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,False,ios,granted
exu_392ca456196f4821,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,True,android,
exu_6bdde02c991d4d19,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,N,True,android,
exu_b006bbb10c834f8e,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,N,Y,android,
exu_920dedeff9b34c8a,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,True,ios,granted
exu_e91454664ee04cac,reels_density_q2_2026, control  ,2026-04-01,server_hash,no,False,android,not_applicable
exu_ed485c47ee814de7,reels_density_q2_2026,Treatment,2026-04-01,server_hash,False,True,android,
exu_3a84aeab6f6e4bd2,reels_density_q2_2026,CONTROL,2026-04-01,session_hash_fallback,Y,True,android,
exu_241ab4a9923843fb,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,android,
exu_e4db06b94b464351,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,False,true,ios,granted
exu_c43b18bb094441e9,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,0,ios,granted
exu_ff14e4a31578480e,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,not_applicable
exu_55ac26f400d34c64,reels_density_q2_2026,control,2026-04-01,server_hash,false,true,ios,granted
exu_957551c84baf44c3,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,false,ios,granted
exu_708fa5e2ed604d23,reels_density_q2_2026,Control,2026-04-01,server_hash,False,False,ios,granted
exu_7231e1a817d546e2,reels_density_q2_2026, control  ,2026-04-01,server_hash,false,False,android,
exu_1007e51e6a364202,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,TRUE,android,
